medal_code,athlete_name,country_code,discipline_code,event
2,KHYZHNIAK Oleksandr,UKR,BOX,Men's Middle (69-75kg)
1,KRASTEVA Stoyka Zhelyazkova,BUL,BOX,Women's Fly (48-51kg)
2,CAKIROGLU Buse Naz,TUR,BOX,Women's Fly (48-51kg)
1,SURMENELI Busenaz,TUR,BOX,Women's Welter (64-69kg)
2,GU Hong,CHN,BOX,Women's Welter (64-69kg)
1,QUEIROZ dos SANTOS Isaquias,BRA,CSP,Men's Canoe Single 1000m
2,LIU Hao,CHN,CSP,Men's Canoe Single 1000m
3,TARNOVSCHI Serghei,MDA,CSP,Men's Canoe Single 1000m
1,LEMKE Max,GER,CSP,Men's Kayak Four 500m
1,LIEBSCHER Tom,GER,CSP,Men's Kayak Four 500m
1,RAUHE Ronald,GER,CSP,Men's Kayak Four 500m
1,RENDSCHMIDT Max,GER,CSP,Men's Kayak Four 500m
2,AREVALO Carlos,ESP,CSP,Men's Kayak Four 500m
2,CRAVIOTTO Saul,ESP,CSP,Men's Kayak Four 500m
2,GERMADE Rodrigo,ESP,CSP,Men's Kayak Four 500m
2,WALZ Marcus,ESP,CSP,Men's Kayak Four 500m
3,BALAZ Samuel,SVK,CSP,Men's Kayak Four 500m
3,BOTEK Adam,SVK,CSP,Men's Kayak Four 500m
3,MYSAK Denis,SVK,CSP,Men's Kayak Four 500m
3,VLCEK Erik,SVK,CSP,Men's Kayak Four 500m
1,SUN Mengya,CHN,CSP,Women's Canoe Double 500m
1,XU Shixiao,CHN,CSP,Women's Canoe Double 500m
2,LUZAN Liudmyla,UKR,CSP,Women's Canoe Double 500m
2,CHETVERIKOVA Anastasiia,UKR,CSP,Women's Canoe Double 500m
3,VINCENT-LAPOINTE Laurence,CAN,CSP,Women's Canoe Double 500m
3,VINCENT Katie,CAN,CSP,Women's Canoe Double 500m
1,BODONYI Dora,HUN,CSP,Women's Kayak Four 500m
1,KOZAK Danuta,HUN,CSP,Women's Kayak Four 500m
1,CSIPES Tamara,HUN,CSP,Women's Kayak Four 500m
1,KARASZ Anna,HUN,CSP,Women's Kayak Four 500m
2,LITVINCHUK Maryna,BLR,CSP,Women's Kayak Four 500m
2,MAKHNEVA Marharyta,BLR,CSP,Women's Kayak Four 500m
2,PAPOK Nadzeya,BLR,CSP,Women's Kayak Four 500m
2,KHUDZENKA Volha,BLR,CSP,Women's Kayak Four 500m
3,NAJA Karolina,POL,CSP,Women's Kayak Four 500m
3,PULAWSKA Anna,POL,CSP,Women's Kayak Four 500m
3,ISKRZYCKA Justyna,POL,CSP,Women's Kayak Four 500m
3,WISNIEWSKA Helena,POL,CSP,Women's Kayak Four 500m
1,HANSEN Lasse Norman,DEN,CTR,Men's Madison
1,MORKOV Michael,DEN,CTR,Men's Madison
2,WALLS Matthew,GBR,CTR,Men's Madison
2,HAYTER Ethan,GBR,CTR,Men's Madison
3,GRONDIN Donavan,FRA,CTR,Men's Madison
3,THOMAS Benjamin,FRA,CTR,Men's Madison
1,CAO Yuan,CHN,DIV,Men's 10m Platform
2,YANG Jian,CHN,DIV,Men's 10m Platform
3,DALEY Thomas,GBR,DIV,Men's 10m Platform
1,von ECKERMANN Henrik,SWE,EQU,Jumping Team
1,BARYARD-JOHNSSON Malin,SWE,EQU,Jumping Team
1,FREDRICSON Peder,SWE,EQU,Jumping Team
2,SPRINGSTEEN Jessica,USA,EQU,Jumping Team
2,KRAUT Laura,USA,EQU,Jumping Team
2,WARD McLain,USA,EQU,Jumping Team
3,DEVOS Pieter,BEL,EQU,Jumping Team
3,GUERY Jerome,BEL,EQU,Jumping Team
3,WATHELET Gregory,BEL,EQU,Jumping Team
1,CLAUDINHO,BRA,FBL,Men
1,SANTOS,BRA,FBL,Men
1,ANTONY,BRA,FBL,Men
1,ABNER,BRA,FBL,Men
1,BRENNO,BRA,FBL,Men
1,FUCHS Bruno,BRA,FBL,Men
1,GUIMARAES Bruno,BRA,FBL,Men
1,DOUGLAS LUIZ,BRA,FBL,Men
1,ALVES Dani,BRA,FBL,Men
1,DIEGO CARLOS,BRA,FBL,Men
1,ARANA Guilherme,BRA,FBL,Men
1,MENINO Gabriel,BRA,FBL,Men
1,MARTINELLI Gabriel,BRA,FBL,Men
1,LUCAO,BRA,FBL,Men
1,CUNHA Matheus,BRA,FBL,Men
1,NINO,BRA,FBL,Men
1,MALCOM,BRA,FBL,Men
1,MATHEUS HENRIQUE,BRA,FBL,Men
1,PAULINHO,BRA,FBL,Men
1,RICHARLISON,BRA,FBL,Men
1,REINIER,BRA,FBL,Men
1,GRACA Ricardo,BRA,FBL,Men
2,ZUBIMENDI Martin,ESP,FBL,Men
2,GIL Oscar,ESP,FBL,Men
2,MINGUEZA Oscar,ESP,FBL,Men
2,ASENSIO Marco,ESP,FBL,Men
2,CEBALLOS Dani,ESP,FBL,Men
2,CUCURELLA Marc,ESP,FBL,Men
2,GIL Bryan,ESP,FBL,Men
2,GONZALEZ Pedri,ESP,FBL,Men
2,FERNANDEZ Alvaro,ESP,FBL,Men
2,TORRES Pau,ESP,FBL,Men
2,GARCIA Eric,ESP,FBL,Men
2,MERINO Mikel,ESP,FBL,Men
2,MIR Rafa,ESP,FBL,Men
2,MIRANDA Juan,ESP,FBL,Men
2,MONCAYOLA Jon,ESP,FBL,Men
2,OLMO Dani,ESP,FBL,Men
2,OYARZABAL Mikel,ESP,FBL,Men
2,PUADO Javier,ESP,FBL,Men
2,SIMON Unai,ESP,FBL,Men
2,SOLER Carlos,ESP,FBL,Men
2,VALLEJO Jesus,ESP,FBL,Men
2,VILLAR Ivan,ESP,FBL,Men
3,MARTIN Henry,MEX,FBL,Men
3,MALAGON Luis,MEX,FBL,Men
3,ANGULO Ricardo,MEX,FBL,Men
3,BELTRAN Fernando,MEX,FBL,Men
3,AGUIRRE Eduardo,MEX,FBL,Men
3,AGUIRRE Erick,MEX,FBL,Men
3,ALVARADO Roberto,MEX,FBL,Men
3,ANGULO Jesus,MEX,FBL,Men
3,ANTUNA Uriel,MEX,FBL,Men
3,CORDOVA Sebastian,MEX,FBL,Men
3,ESQUIVEL Joaquin,MEX,FBL,Men
3,JURADO Sebastian,MEX,FBL,Men
3,LAINEZ Diego,MEX,FBL,Men
3,LORONA Vladimir,MEX,FBL,Men
3,MONTES Cesar,MEX,FBL,Men
3,MORA Adrian,MEX,FBL,Men
3,OCHOA Guillermo,MEX,FBL,Men
3,RODRIGUEZ Carlos,MEX,FBL,Men
3,ROMO Luis,MEX,FBL,Men
3,SANCHEZ Jorge,MEX,FBL,Men
3,VASQUEZ Johan,MEX,FBL,Men
3,VEGA Alexis,MEX,FBL,Men
1,KORDA Nelly,USA,GLF,Women's Individual Stroke Play
2,INAMI Mone,JPN,GLF,Women's Individual Stroke Play
3,KO Lydia,NZL,GLF,Women's Individual Stroke Play
1,ABALO Luc,FRA,HBL,Men
1,DESCAT Hugo,FRA,HBL,Men
1,FABREGAS Ludovic,FRA,HBL,Men
1,GENTY Yann,FRA,HBL,Men
1,GERARD Vincent,FRA,HBL,Men
1,GUIGOU Michael,FRA,HBL,Men
1,KARABATIC Nikola,FRA,HBL,Men
1,KARABATIC Luka,FRA,HBL,Men
1,LAGARDE Romain,FRA,HBL,Men
1,MAHE Kentin,FRA,HBL,Men
1,MEM Dika,FRA,HBL,Men
1,NGUESSAN Timothey,FRA,HBL,Men
1,PORTE Valentin,FRA,HBL,Men
1,REMILI Nedim,FRA,HBL,Men
1,RICHARDSON Melvyn,FRA,HBL,Men
1,TOURNAT Nicolas,FRA,HBL,Men
2,ANDERSSON Lasse,DEN,HBL,Men
2,GIDSEL Mathias,DEN,HBL,Men
2,HANSEN Johan,DEN,HBL,Men
2,HOLM Jacob,DEN,HBL,Men
2,JAKOBSEN Emil,DEN,HBL,Men
2,LANDIN Magnus,DEN,HBL,Men
2,LANDIN Niklas,DEN,HBL,Men
2,MENSAH Mads,DEN,HBL,Men
2,MOELLGAARD Henrik,DEN,HBL,Men
2,OLSEN Morten,DEN,HBL,Men
2,SAUGSTRUP Magnus,DEN,HBL,Men
2,SVAN Lasse,DEN,HBL,Men
2,TOFT HANSEN Henrik,DEN,HBL,Men
2,HANSEN Mikkel,DEN,HBL,Men
2,MOELLER Kevin,DEN,HBL,Men
3,GARCIA ROBLEDO Antonio,ESP,HBL,Men
3,GOMEZ ABELLO Aleix,ESP,HBL,Men
3,CORRALES RODAL Rodrigo,ESP,HBL,Men
3,MAQUEDA PENO Jorge,ESP,HBL,Men
3,SOLE SALA Ferran,ESP,HBL,Men
3,PEREZ de VARGAS MORENO Gonzalo,ESP,HBL,Men
3,DUJSHEBAEV DOVICHEBAEVA Alex,ESP,HBL,Men
3,FIGUERAS TREJO Adrian,ESP,HBL,Men
3,MORROS de ARGILA Viran,ESP,HBL,Men
3,ENTRERRIOS RODRIGUEZ Raul,ESP,HBL,Men
3,GURBINDO MARTINEZ Eduardo,ESP,HBL,Men
3,SARMIENTO MELIAN Daniel,ESP,HBL,Men
3,SANCHEZ-MIGALLON NARANJO Miguel,ESP,HBL,Men
3,FERNANDEZ PEREZ Angel,ESP,HBL,Men
3,AGUINAGALDE AQUIZU Julen,ESP,HBL,Men
3,GUARDIOLA VILLAPLANA Gedeon,ESP,HBL,Men
1,GANJZADEH Sajad,IRI,KTE,Men's Kumite +75kg
2,HAMEDI Tareg,KSA,KTE,Men's Kumite +75kg
3,ARAGA Ryutaro,JPN,KTE,Men's Kumite +75kg
3,AKTAS Ugur,TUR,KTE,Men's Kumite +75kg
1,ABDELAZIZ Feryal,EGY,KTE,Women's Kumite +61kg
2,ZARETSKA Iryna,AZE,KTE,Women's Kumite +61kg
3,GONG Li,CHN,KTE,Women's Kumite +61kg
3,BERULTSEVA Sofya,KAZ,KTE,Women's Kumite +61kg
1,CHOONG Joseph,GBR,MPN,Men's Individual
2,ELGENDY Ahmed,EGY,MPN,Men's Individual
3,JUN Woongtae,KOR,MPN,Men's Individual
1,ASHRAM Linoy,ISR,GRY,Individual All-Around
2,AVERINA Dina,ROC,GRY,Individual All-Around
3,HARNASKO Alina,BLR,GRY,Individual All-Around
1,le GOFF Nicolas,FRA,VVO,Men
1,CHINENYEZE Barthelemy,FRA,VVO,Men
1,BOYER Stephen,FRA,VVO,Men
1,BRIZARD Antoine,FRA,VVO,Men
1,BULTOR Daryl,FRA,VVO,Men
1,CLEVENOT Trevor,FRA,VVO,Men
1,GREBENNIKOV Jenia,FRA,VVO,Men
1,LOUATI Yacine,FRA,VVO,Men
1,NGAPETH Earvin,FRA,VVO,Men
1,PATRY Jean,FRA,VVO,Men
1,TILLIE Kevin,FRA,VVO,Men
1,TONIUTTI Benjamin,FRA,VVO,Men
2,KOBZAR Igor,ROC,VVO,Men
2,PANKOV Pavel,ROC,VVO,Men
2,VOLVICH Artem,ROC,VVO,Men
2,KURKAEV Ilyas,ROC,VVO,Men
2,IAKOVLEV Ivan,ROC,VVO,Men
2,KLIUKA Egor,ROC,VVO,Men
2,VOLKOV Dmitry,ROC,VVO,Men
2,PODLESNYKH Yaroslav,ROC,VVO,Men
2,BOGDAN Denis,ROC,VVO,Men
2,MIKHAYLOV Maxim,ROC,VVO,Men
2,POLETAEV Victor,ROC,VVO,Men
2,GOLUBEV Valentin,ROC,VVO,Men
3,de CECCO Luciano,ARG,VVO,Men
3,SANCHEZ Matias,ARG,VVO,Men
3,SOLE Sebastian,ARG,VVO,Men
3,RAMOS Martin,ARG,VVO,Men
3,LOSER Agustin,ARG,VVO,Men
3,PEREYRA Federico,ARG,VVO,Men
3,LIMA Bruno,ARG,VVO,Men
3,CONTE Facundo,ARG,VVO,Men
3,POGLAJEN Cristian,ARG,VVO,Men
3,PALACIOS Ezequiel,ARG,VVO,Men
3,MENDEZ Nicolas,ARG,VVO,Men
3,DANANI Santiago,ARG,VVO,Men
1,FISCHER Aria,USA,WPO,Women
1,JOHNSON Ashleigh,USA,WPO,Women
1,LONGAN Amanda,USA,WPO,Women
1,WILLIAMS Alys,USA,WPO,Women
1,NEUSHUL Jamie,USA,WPO,Women
1,GILCHRIST Kaleigh,USA,WPO,Women
1,FISCHER Makenzie,USA,WPO,Women
1,MUSSELMAN Madeline,USA,WPO,Women
1,SEIDEMANN Melissa,USA,WPO,Women
1,STEFFENS Margaret,USA,WPO,Women
1,HAUSCHILD Paige,USA,WPO,Women
1,FATTAL Rachel,USA,WPO,Women
1,HARALABIDIS Stephanie,USA,WPO,Women
2,BACH Marta,ESP,WPO,Women
2,ESPAR LLAQUET Anna,ESP,WPO,Women
2,ESPAR LLAQUET Clara,ESP,WPO,Women
2,ESTER RAMOS Laura,ESP,WPO,Women
2,FORCA ARIZA Judith,ESP,WPO,Women
2,GARCIA GODOY Maica,ESP,WPO,Women
2,GONZALEZ LOPEZ Irene,ESP,WPO,Women
2,LEITON ARRONES Paula,ESP,WPO,Women
2,ORTIZ Bea,ESP,WPO,Women
2,PENA Pili,ESP,WPO,Women
2,SANCHEZ GONZALEZ Maria Elena,ESP,WPO,Women
2,TARRAGO AYMERICH Roser,ESP,WPO,Women
2,RUIZ Elena,ESP,WPO,Women
3,GANGL Edina,HUN,WPO,Women
3,GARDA Krisztina,HUN,WPO,Women
3,GURISATTI Greta,HUN,WPO,Women
3,GYONGYOSSY Aniko,HUN,WPO,Women
3,ILLES Anna,HUN,WPO,Women
3,KESZTHELYI Rita,HUN,WPO,Women
3,LEIMETER Dora,HUN,WPO,Women
3,MAGYARI Alda,HUN,WPO,Women
3,PARKES Rebecca,HUN,WPO,Women
3,RYBANSKA Natasa,HUN,WPO,Women
3,SZILAGYI Dorottya,HUN,WPO,Women
3,SZUCS Gabriella,HUN,WPO,Women
3,VALYI Vanda,HUN,WPO,Women
1,OTOGURO Takuto,JPN,WRE,Men's Freestyle 65kg
2,ALIYEV Haji,AZE,WRE,Men's Freestyle 65kg
3,RASHIDOV Gadzhimurad,ROC,WRE,Men's Freestyle 65kg
3,BAJRANG Bajrang,IND,WRE,Men's Freestyle 65kg
1,SADULAEV Abdulrashid,ROC,WRE,Men's Freestyle 97kg
2,SNYDER Kyle Frederick,USA,WRE,Men's Freestyle 97kg
3,SALAS PEREZ Reineris,CUB,WRE,Men's Freestyle 97kg
3,CONYEDO RUANO Abraham de Jesus,ITA,WRE,Men's Freestyle 97kg
1,SUSAKI Yui,JPN,WRE,Women's Freestyle 50kg
2,SUN Yanan,CHN,WRE,Women's Freestyle 50kg
3,STADNIK Mariya,AZE,WRE,Women's Freestyle 50kg
3,HILDEBRANDT Sarah Ann,USA,WRE,Women's Freestyle 50kg
1,KIPCHOGE Eliud,KEN,ATH,Men's Marathon
2,NAGEEYE Abdi,NED,ATH,Men's Marathon
3,ABDI Bashir,BEL,ATH,Men's Marathon
1,ATKINS Ariel,USA,BKB,Women
1,WILSON A'ja,USA,BKB,Women
1,GRINER Brittney,USA,BKB,Women
1,STEWART Breanna,USA,BKB,Women
1,GRAY Chelsea,USA,BKB,Women
1,LOYD Jewell,USA,BKB,Women
1,TAURASI Diana,USA,BKB,Women
1,BIRD Sue,USA,BKB,Women
1,DIGGINS Skylar,USA,BKB,Women
1,FOWLES Sylvia,USA,BKB,Women
1,CHARLES Tina,USA,BKB,Women
1,COLLIER Napheesa,USA,BKB,Women
2,MIYOSHI Naho,JPN,BKB,Women
2,TAKADA Maki,JPN,BKB,Women
2,MACHIDA Rui,JPN,BKB,Women
2,MIYAZAWA Yuki,JPN,BKB,Women
2,MOTOHASHI Nako,JPN,BKB,Women
2,NAGAOKA Moeko,JPN,BKB,Women
2,HAYASHI Saki,JPN,BKB,Women
2,MAWULI Evelyn,JPN,BKB,Women
2,MIYAZAKI Saori,JPN,BKB,Women
2,AKAHO Himawari,JPN,BKB,Women
2,OKOYE Monica,JPN,BKB,Women
2,TODO Nanako,JPN,BKB,Women
3,FAUTHOUX Marine,FRA,BKB,Women
3,DUCHET Alix,FRA,BKB,Women
3,JOHANNES Marine,FRA,BKB,Women
3,MICHEL Sarah,FRA,BKB,Women
3,VUKOSAVLJEVIC Valeriane,FRA,BKB,Women
3,TCHATCHOUANG Diandra,FRA,BKB,Women
3,MIYEM Endene,FRA,BKB,Women
3,CHARTEREAU Alexia,FRA,BKB,Women
3,GRUDA Sandrine,FRA,BKB,Women
3,RUPERT Iliana,FRA,BKB,Women
3,CIAK Helena,FRA,BKB,Women
3,WILLIAMS Gabby,FRA,BKB,Women
1,CRUZ Andy,CUB,BOX,Men's Light (57-63kg)
2,DAVIS Keyshawn,USA,BOX,Men's Light (57-63kg)
1,JALOLOV Bakhodir,UZB,BOX,Men's Super Heavy (+91kg)
2,TORREZ JR Richard,USA,BOX,Men's Super Heavy (+91kg)
1,HARRINGTON Kellie Anne,IRL,BOX,Women's Light (57-60kg)
2,FERREIRA Beatriz,BRA,BOX,Women's Light (57-60kg)
1,PRICE Lauren,GBR,BOX,Women's Middle (69-75kg)
2,LI Qian,CHN,BOX,Women's Middle (69-75kg)
1,KENNY Jason,GBR,CTR,Men's Keirin
2,AWANG Mohd Azizulhasni,MAS,CTR,Men's Keirin
3,LAVREYSEN Harrie,NED,CTR,Men's Keirin
1,VALENTE Jennifer,USA,CTR,Women's Omnium
2,KAJIHARA Yumi,JPN,CTR,Women's Omnium
3,WILD Kirsten,NED,CTR,Women's Omnium
1,MITCHELL Kelsey,CAN,CTR,Women's Sprint
2,STARIKOVA Olena,UKR,CTR,Women's Sprint
3,LEE Wai Sze,HKG,CTR,Women's Sprint
1,EDWIGE Beatrice,FRA,HBL,Women
1,NZE MINKO Estelle,FRA,HBL,Women
1,LEYNAUD Amandine,FRA,HBL,Women
1,DARLEUX Cleopatre,FRA,HBL,Women
1,LASSOURCE Coralie,FRA,HBL,Women
1,VALENTINI Chloe,FRA,HBL,Women
1,FOPPA Pauletta,FRA,HBL,Women
1,LACRABERE Alexandra,FRA,HBL,Women
1,SERCIEN UGOLIN Oceane,FRA,HBL,Women
1,COATANEA Pauline,FRA,HBL,Women
1,FLIPPES Laura,FRA,HBL,Women
1,DANCETTE Blandine,FRA,HBL,Women
1,ZAADI DEUNA Grace,FRA,HBL,Women
1,NOCANDY Meline,FRA,HBL,Women
1,PINEAU Allison,FRA,HBL,Women
1,NIAKATE Kalidiatou,FRA,HBL,Women
2,BOBROVNIKOVA Vladlena,ROC,HBL,Women
2,VEDEKHINA Polina,ROC,HBL,Women
2,VYAKHIREVA Anna,ROC,HBL,Women
2,GORSHKOVA Polina,ROC,HBL,Women
2,DMITRIEVA Daria,ROC,HBL,Women
2,ILINA Ekaterina,ROC,HBL,Women
2,KALININA Viktoriia,ROC,HBL,Women
2,KUZNETSOVA Polina,ROC,HBL,Women
2,MAKEEVA Kseniia,ROC,HBL,Women
2,MANAGAROVA Iuliia,ROC,HBL,Women
2,MIKHAYLICHENKO Elena,ROC,HBL,Women
2,SEDOYKINA Anna,ROC,HBL,Women
2,SEN Anna,ROC,HBL,Women
2,SKOROBOGATCHENKO Antonina,ROC,HBL,Women
2,FOMINA Olga,ROC,HBL,Women
3,TOMAC Marta,NOR,HBL,Women
3,JACOBSEN Marit,NOR,HBL,Women
3,MOERK Nora,NOR,HBL,Women
3,REISTAD Henny,NOR,HBL,Women
3,KRISTIANSEN Veronica,NOR,HBL,Women
3,SKOGRAND Stine,NOR,HBL,Women
3,LUNDE Katrine,NOR,HBL,Women
3,JOHANSEN Vilde Ingeborg,NOR,HBL,Women
3,BREISTOEL Kristine,NOR,HBL,Women
3,FRAFJORD Marit Malm,NOR,HBL,Women
3,BRATTSET DALE Kari,NOR,HBL,Women
3,BREDAL OFTEDAL Stine,NOR,HBL,Women
3,SOLBERG ISAKSEN Sanna,NOR,HBL,Women
3,HERREM Camilla,NOR,HBL,Women
3,SOLBERG Silje,NOR,HBL,Women
1,DYANKOVA Simona,BUL,GRY,Group All-Around
1,RADUKANOVA Madlen,BUL,GRY,Group All-Around
1,KIRYAKOVA Stefani,BUL,GRY,Group All-Around
1,ZAFIROVA Erika,BUL,GRY,Group All-Around
1,TRAETS Laura,BUL,GRY,Group All-Around
2,BLIZNYUK Anastasia,ROC,GRY,Group All-Around
2,SHKATOVA Angelina,ROC,GRY,Group All-Around
2,TISHCHENKO Alisa,ROC,GRY,Group All-Around
2,MAKSIMOVA Anastasiia,ROC,GRY,Group All-Around
2,TATAREVA Anastasiia,ROC,GRY,Group All-Around
3,MAURELLI Alessia,ITA,GRY,Group All-Around
3,CENTOFANTI Martina,ITA,GRY,Group All-Around
3,SANTANDREA Martina,ITA,GRY,Group All-Around
3,DURANTI Agnese,ITA,GRY,Group All-Around
3,MOGUREAN Daniela,ITA,GRY,Group All-Around
1,DREWS Andrea,USA,VVO,Women
1,OGBOGU Chiaka,USA,VVO,Women
1,AKINRADEWO Foluke,USA,VVO,Women
1,WASHINGTON Haleigh,USA,VVO,Women
1,LARSON Jordan,USA,VVO,Women
1,WONG-ORANTES Justine,USA,VVO,Women
1,HILL Kimberly,USA,VVO,Women
1,ROBINSON Kelsey,USA,VVO,Women
1,BARTSCH-HACKLEY Michelle,USA,VVO,Women
1,HANCOCK Micha,USA,VVO,Women
1,POULTER Jordyn,USA,VVO,Women
1,THOMPSON Jordan,USA,VVO,Women
2,CORREA Ana Beatriz,BRA,VVO,Women
2,da SILVA Ana Carolina,BRA,VVO,Women
2,MENEZES OLIVEIRA de SOUZA Ana Cris.,BRA,VVO,Women
2,BRAIT Camila,BRA,VVO,Women
2,de OLIVEIRA SAAD GATTAZ Caroline,BRA,VVO,Women
2,RODRIGUES Fernanda,BRA,VVO,Women
2,BRAGA GUIMARAES Gabriela,BRA,VVO,Women
2,SILVA CARNEIRO Macris Fernanda,BRA,VVO,Women
2,PEREIRA Natalia,BRA,VVO,Women
2,MONTIBELLER Rosamaria,BRA,VVO,Women
2,RATZKE Roberta Silva,BRA,VVO,Women
2,CAIXETA Tandara,BRA,VVO,Women
3,BJELICA Ana,SRB,VVO,Women
3,BUSA Bianka,SRB,VVO,Women
3,MILENKOVIC Bojana,SRB,VVO,Women
3,MIHAJLOVIC Brankica,SRB,VVO,Women
3,BLAGOJEVIC Jelena,SRB,VVO,Women
3,ALEKSIC Maja,SRB,VVO,Women
3,OGNJENOVIC Maja,SRB,VVO,Women
3,RASIC Milena,SRB,VVO,Women
3,POPOVIC Mina,SRB,VVO,Women
3,POPOVIC Silvija,SRB,VVO,Women
3,MIRKOVIC Sladjana,SRB,VVO,Women
3,BOSKOVIC Tijana,SRB,VVO,Women
1,ALEKSIC Milan,SRB,WPO,Men
1,DEDOVIC Nikola,SRB,WPO,Men
1,FILIPOVIC Filip,SRB,WPO,Men
1,JAKSIC Nikola,SRB,WPO,Men
1,LAZIC Dorde,SRB,WPO,Men
1,MANDIC Dusan,SRB,WPO,Men
1,MITROVIC Branislav,SRB,WPO,Men
1,MITROVIC Stefan,SRB,WPO,Men
1,PIJETLOVIC Dusko,SRB,WPO,Men
1,PIJETLOVIC Gojko,SRB,WPO,Men
1,PRLAINOVIC Andrija,SRB,WPO,Men
1,RANDELOVIC Sava,SRB,WPO,Men
1,RASOVIC Strahinja,SRB,WPO,Men
2,ARGYROPOULOS KANAKAKIS Stylianos,GRE,WPO,Men
2,DERVISIS Georgios,GRE,WPO,Men
2,FOUNTOULIS Ioannis,GRE,WPO,Men
2,GALANIDIS Konstantinos,GRE,WPO,Men
2,GENIDOUNIAS Konstantinos,GRE,WPO,Men
2,KAPOTSIS Marios,GRE,WPO,Men
2,KOLOMVOS Christodoulos,GRE,WPO,Men
2,MOURIKIS Konstantinos,GRE,WPO,Men
2,PAPANASTASIOU Alexandros,GRE,WPO,Men
2,SKOUMPAKIS Dimitrios,GRE,WPO,Men
2,VLACHOPOULOS Angelos,GRE,WPO,Men
2,ZERDEVAS Emmanouil,GRE,WPO,Men
2,GKIOUVETSIS Konstantinos,GRE,WPO,Men
3,PASZTOR Matyas,HUN,WPO,Men
3,ANGYAL Daniel,HUN,WPO,Men
3,ERDELYI Balazs,HUN,WPO,Men
3,HARAI Balazs,HUN,WPO,Men
3,HOSNYANSZKY Norbert,HUN,WPO,Men
3,JANSIK Szilard,HUN,WPO,Men
3,MANHERCZ Krisztian,HUN,WPO,Men
3,MEZEI Tamas,HUN,WPO,Men
3,NAGY Viktor,HUN,WPO,Men
3,VAMOS Marton,HUN,WPO,Men
3,VARGA Denes,HUN,WPO,Men
3,VOGEL Soma,HUN,WPO,Men
3,ZALANKI Gergo,HUN,WPO,Men
